Table_Name,Table_ID,Field_ID,Field_Name,Field_Type,Is_Linked_Field,Linked_Table_ID,Linked_Table
User_Session,tblABreioRlQTyMVH,fld0yUt5YVbwuWtMQ,Visited,formula,,,
User_Session,tblABreioRlQTyMVH,fld2CiVLViqt6Mc4a,Session_ID,multipleRecordLinks,checked,tblacwYdRuQwQGIHq,AirTable_API_Post
User_Session,tblABreioRlQTyMVH,fld2n1TaXjqYXYhat,Lesson_Label from Materials ID,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldAAfu3LzFwt4P9B,Full Name (from Application Users),multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldcYUYU0YHrn6qQD,Page,formula,,,
User_Session,tblABreioRlQTyMVH,fldczKF2Knj8GSRJI,Page_Type,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldDqQb3lblbYJ9jT,Edition_Name,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldg5bttphcM7AU3W,Record_Created,createdTime,,,
User_Session,tblABreioRlQTyMVH,fldHzzGzdo83FA5Gv,Visit_Summary,formula,,,
User_Session,tblABreioRlQTyMVH,fldjQY7sFNM8HLFtI,Edition_ID,singleLineText,,,
User_Session,tblABreioRlQTyMVH,fldjYFnZk8l9tx5H6,Session Timestamp,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldm0h77JT0UmSJwu,Title (from Application Users),multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldmlQSSdsP2T7NME,Lesson_Name,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldmvfF8yGwnS6DJY,User_Email,singleLineText,,,
User_Session,tblABreioRlQTyMVH,fldNp5EB8JU92xaRj,Organization (from Application Users),multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldoRBIUqgAAkPPgi,Application Users,multipleRecordLinks,checked,tbldH5vECddqn4Tvv,Users
User_Session,tblABreioRlQTyMVH,fldQenEHcLTlwLahI,Resource_Name,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldR8sfWWmSGQcQ1s,Record_ID_TXT,singleLineText,,,
User_Session,tblABreioRlQTyMVH,fldtqi7iWJbgYo5QE,Edition_From_Lesson_ID,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldu8XXG9o1k4ddxe,Aging_Hours,formula,,,
User_Session,tblABreioRlQTyMVH,flduaxKFFxltTGbrn,Lesson_Label from Lesson ID,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldVINrpojrz9SSoe,Lesson_ID,singleLineText,,,
User_Session,tblABreioRlQTyMVH,fldwziqUKCl4u7R2T,Materials_ID,singleLineText,,,
User_Session,tblABreioRlQTyMVH,fldyDXaUWQ1pDP0e6,URL_Visited,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldYHO8J4ZCTzZkXb,Lesson_From_Materials_ID,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldziS3ucDHGhwWWt,Visit_Type,multipleLookupValues,,,
User_Session,tblABreioRlQTyMVH,fldzsy9QOBVqLmp0o,Visited_Orig,formula,,,
AirTable_API_Post,tblacwYdRuQwQGIHq,fldh72Nxph7oWXsMR,Section_Visited,singleLineText,,,
AirTable_API_Post,tblacwYdRuQwQGIHq,fldMbXJeN0ajU2WnO,Record_Created,createdTime,,,
AirTable_API_Post,tblacwYdRuQwQGIHq,fldoJFQ1D5GlYsfco,Visit_Type,formula,,,
AirTable_API_Post,tblacwYdRuQwQGIHq,fldpASA1YeT9iBSBF,Page_Type,formula,,,
AirTable_API_Post,tblacwYdRuQwQGIHq,fldsMYmJLBlhhHSbp,User_Module_Session,multipleRecordLinks,checked,tblABreioRlQTyMVH,User_Session
AirTable_API_Post,tblacwYdRuQwQGIHq,fldVWmbUalxQTwXBf,AT_Session_ID,formula,,,
AirTable_API_Post,tblacwYdRuQwQGIHq,fldyGujZ3z1M3jiln,URL_Visited,singleLineText,,,
AirTable_API_Post,tblacwYdRuQwQGIHq,fldypNWxLfcdgNmp8,User_Email,singleLineText,,,
Announcement,tblbGWPTH7sWqOIGR,fld0xq7AwTfNsTbP5,Name,singleLineText,,,
Announcement,tblbGWPTH7sWqOIGR,fld4pLeKZLMWftLrB,Visible,checkbox,,,
Announcement,tblbGWPTH7sWqOIGR,fld8ODwuQHWlWmtha,Anchor,singleLineText,,,
Announcement,tblbGWPTH7sWqOIGR,fld8yp75TKBHnJvOm,Starts_At,dateTime,,,
